ID,Name,Volume,Price,Sale Price,Sale Ends,Proof,Type,Category,url,image,relative_1,relative_2,relative_3
6495,Exotico Blanco Tequila,750mL,$16.99 ,$13.99 ,10/30/2016,80,Tequila,Tequila Imported,/products/detail/6495/exotico_blanco_tequila,FALSE,8691,3787,8323
8693,Ezra Brooks,750mL,$10.99 ,-,-,90,Whiskey American,Bourbon Whiskey,/products/detail/8693/ezra_brooks,FALSE,1178,2708,2695
8626,Ezra Brooks,1.75L,$19.99 ,$17.99 ,10/30/2016,90,Whiskey American,Bourbon Whiskey,/products/detail/8626/ezra_brooks,FALSE,3863,1174,1323
8629,Ezra Brooks Cinnamon Liqueur,1.75L,$18.99 ,-,-,70,Cordials Liqueurs & Specialtie,Cordials Liqueurs & Specialti,/products/detail/8629/ezra_brooks_cinnamon_liqueur,FALSE,5299,8898,1236
5669,Fabrizia Blood Orange Liqueur,750mL,$19.99 ,$15.99 ,10/30/2016,54,Cordials Liqueurs & Specialtie,Cordials Liqueurs & Specialti,/products/detail/5669/fabrizia_blood_orange_liqueur,FALSE,5705,4899,5921
6049,Fabrizia Crema Di Limoncello,750mL,$19.99 ,$16.99 ,10/30/2016,54,Cordials Liqueurs & Specialtie,Cordials Liqueurs & Specialti,/products/detail/6049/fabrizia_crema_di_limoncello,FALSE,5705,4899,5921
4411,Fabrizia Italian Margarita Rtd,750mL,$11.99 ,$9.99 ,10/30/2016,28,Cocktails & Mixed Drinks Ameri,Cocktails & Mixed Drinks Ameri,/products/detail/4411/fabrizia_italian_margarita_rtd,FALSE,8694,5662,8298
8793,Fabrizia Italian Margarita Rtd,1.75L,$21.99 ,$19.99 ,10/30/2016,28,Cocktails & Mixed Drinks Ameri,Cocktails & Mixed Drinks Ameri,/products/detail/8793/fabrizia_italian_margarita_rtd,FALSE,5560,5875,5058
4178,Fabrizia Limoncello,375mL,$12.99 ,$9.99 ,10/30/2016,54,Cordials Liqueurs & Specialtie,Cordials Liqueurs & Specialti,/products/detail/4178/fabrizia_limoncello,FALSE,5221,5147,8097
4701,Fabrizia Limoncello,750mL,$19.99 ,$16.99 ,10/30/2016,54,Cordials Liqueurs & Specialtie,Cordials Liqueurs & Specialti,/products/detail/4701/fabrizia_limoncello,FALSE,5705,4899,5921
8218,Familia Camarena Reposado Tequila,1.75L,$34.99 ,$31.99 ,10/30/2016,80,Tequila,Tequila Imported,/products/detail/8218/familia_camarena_reposado_tequila,TRUE,3457,3980,3444
2026,Familia Camarena Silver Tequila,750mL,$21.99 ,$18.99 ,10/30/2016,80,Tequila,Tequila Imported,/products/detail/2026/familia_camarena_silver_tequila,FALSE,8273,3425,3617
8189,Familia Camarena Silver Tequila,1.75L,$34.99 ,$31.99 ,10/30/2016,80,Tequila,Tequila Imported,/products/detail/8189/familia_camarena_silver_tequila,TRUE,3457,3980,3444
92007,Fee Brothers Black Walnut Bitters,5.0 Oz,$6.99 ,-,-,6.4,Bitters-beverage,Bitters-beverage,/products/detail/92007/fee_brothers_black_walnut_bitters,FALSE,92004,92001,92003
92005,Fee Brothers Celery Bitters,5.0 Oz,$6.99 ,-,-,1.3,Bitters-beverage,Bitters-beverage,/products/detail/92005/fee_brothers_celery_bitters,FALSE,92004,92001,92003
92006,Fee Brothers Cherry Bitters,5.0 Oz,$6.99 ,-,-,4.8,Bitters-beverage,Bitters-beverage,/products/detail/92006/fee_brothers_cherry_bitters,FALSE,92004,92001,92003
92002,Fee Brothers Chocolate Aztec Bitters,5.0 Oz,$6.99 ,-,-,2.6,Bitters-beverage,Bitters-beverage,/products/detail/92002/fee_brothers_chocolate_aztec_bitters,FALSE,92004,92001,92003
92018,Fee Brothers Mint Bitters,5.0 Oz,$6.99 ,-,-,35.8,Bitters-beverage,Bitters-beverage,/products/detail/92018/fee_brothers_mint_bitters,FALSE,92004,92001,92003
92008,Fee Brothers Molasses Bitters,5.0 Oz,$6.99 ,-,-,9,Bitters-beverage,Bitters-beverage,/products/detail/92008/fee_brothers_molasses_bitters,FALSE,92004,92001,92003
92001,Fee Brothers Old Fashion Aromatic Bitter,5.0 Oz,$6.99 ,-,-,17.5,Bitters-beverage,Bitters-beverage,/products/detail/92001/fee_brothers_old_fashion_aromatic_bitter,FALSE,92004,92003,92002
